h5_filename,video_filename,fly_idx,camera,experiment,start_time,location_in_plate,framerate,length,
fly1_exp1_cam1.h5,exp1_cam1.mkv,1,1,1,22:33,top-left,100,173:00:00,
fly2_exp1_cam1.h5,exp1_cam1.mkv,2,1,1,22:33,top-right,100,173:00:00,
fly3_exp1_cam1.h5,exp1_cam1.mkv,3,1,1,22:33,bottom-left,100,173:00:00,
fly4_exp1_cam1.h5,exp1_cam1.mkv,4,1,1,22:33,bottom-right,100,173:00:00,
fly5_exp1_cam2.h5,exp1_cam2.mkv,5,2,1,22:33,top-left,100,172:00:00,
fly6_exp1_cam2.h5,exp1_cam2.mkv,6,2,1,22:33,top-right,100,172:00:00,
fly7_exp1_cam2.h5,exp1_cam2.mkv,7,2,1,22:33,bottom-left,100,172:00:00,
fly8_exp1_cam2.h5,exp1_cam2.mkv,8,2,1,22:33,bottom-right,100,172:00:00,
fly9_exp1_cam3.h5,exp1_cam3.mkv,9,3,1,22:27,top-left,100,302:00:00,
fly10_exp1_cam3.h5,exp1_cam3.mkv,10,3,1,22:27,top-right,100,302:00:00,
fly11_exp1_cam3.h5,exp1_cam3.mkv,11,3,1,22:27,bottom-left,100,302:00:00,
fly12_exp1_cam3.h5,exp1_cam3.mkv,12,3,1,22:27,bottom-right,100,302:00:00,
fly13_exp1_cam4.h5,exp1_cam4.mkv,13,4,1,22:27,top-left,100,302:00:00,
fly14_exp1_cam4.h5,exp1_cam4.mkv,14,4,1,22:27,top-right,100,302:00:00,
fly15_exp1_cam4.h5,exp1_cam4.mkv,15,4,1,22:27,bottom-left,100,302:00:00,
fly16_exp1_cam4.h5,exp1_cam4.mkv,16,4,1,22:27,bottom-right,100,302:00:00,
fly17_exp2_cam1.h5,exp2_cam1.mkv,17,1,2,17:51,top-left,99.96,229:00:00,
fly18_exp2_cam1.h5,exp2_cam1.mkv,18,1,2,17:51,top-right,99.96,229:00:00,
fly19_exp2_cam1.h5,exp2_cam1.mkv,19,1,2,17:51,bottom-left,99.96,229:00:00,
fly20_exp2_cam1.h5,exp2_cam1.mkv,20,1,2,17:51,bottom-right,99.96,229:00:00,
fly21_exp2_cam2.h5,exp2_cam2.mkv,21,2,2,17:51,top-left,99.96,178:00:00,
fly22_exp2_cam2.h5,exp2_cam2.mkv,22,2,2,17:51,top-right,99.96,178:00:00,
fly23_exp2_cam2.h5,exp2_cam2.mkv,23,2,2,17:51,bottom-left,99.96,178:00:00,
fly24_exp2_cam2.h5,exp2_cam2.mkv,24,2,2,17:51,bottom-right,99.96,178:00:00,
fly25_exp3_cam1.h5,exp3_cam1.mkv,25,1,3,17:36,top-left,99.96,139:00:00,
fly26_exp3_cam1.h5,exp3_cam1.mkv,26,1,3,17:36,top-right,99.96,139:00:00,
fly27_exp3_cam1.h5,exp3_cam1.mkv,27,1,3,17:36,bottom-left,99.96,139:00:00,
fly28_exp3_cam1.h5,exp3_cam1.mkv,28,1,3,17:36,bottom-right,99.96,139:00:00,
fly29_exp3_cam2.h5,exp3_cam2.mkv,29,2,3,17:36,top-left,99.96,139:00:00,
fly30_exp3_cam2.h5,exp3_cam2.mkv,30,2,3,17:36,top-right,99.96,139:00:00,
fly31_exp3_cam2.h5,exp3_cam2.mkv,31,2,3,17:36,bottom-left,99.96,139:00:00,
fly32_exp3_cam2.h5,exp3_cam2.mkv,32,2,3,17:36,bottom-right,99.96,139:00:00,